Year,Country,Product,iso3code,hhi,Stability value,CRI score,Domestic Production Value
2000,AUSTRALIA,MOLYBDENUM,AUS,0.0756250342212481,1.33,28.0,
2000,AUSTRALIA,NICKEL,AUS,0.0756250342212481,1.33,28.0,165700.0
2000,AUSTRALIA,RARE EARTH,AUS,0.0756250342212481,1.33,28.0,
2000,AUSTRALIA,SILVER,AUS,0.0756250342212481,1.33,28.0,2059000.0
2000,AUSTRALIA,TIN,AUS,0.0756250342212481,1.33,28.0,9106.0
2000,AUSTRALIA,TITANIUM,AUS,0.0756250342212481,1.33,28.0,2146000.0
2000,AUSTRALIA,TUNGSTEN,AUS,0.0756250342212481,1.33,28.0,
2000,AUSTRALIA,URANIUM,AUS,0.0756250342212481,1.33,28.0,7588.0
2000,AUSTRALIA,ZINC,AUS,0.0756250342212481,1.33,28.0,1419000.0
2000,AUSTRALIA,ZIRCONIUM,AUS,0.0756250342212481,1.33,28.0,374000.0
2000,AUSTRALIA,COAL,AUS,0.0756250342212481,1.33,28.0,313917500.0
2000,AUSTRALIA,NATURAL GAS,AUS,0.0756250342212481,1.33,28.0,22770401.20627521
2000,AUSTRALIA,PETROLEUM,AUS,0.0756250342212481,1.33,28.0,37091706.11655387
2000,AUSTRIA,ANTIMONY,AUT,0.131661462538755,0.82,56.83,
2000,AUSTRIA,BARYTES,AUT,0.131661462538755,0.82,56.83,
2000,AUSTRIA,CADMIUM,AUT,0.131661462538755,0.82,56.83,
2000,AUSTRIA,COPPER,AUT,0.131661462538755,0.82,56.83,
2000,AUSTRIA,GRAPHITE,AUT,0.131661462538755,0.82,56.83,669.0
2000,AUSTRIA,IRON,AUT,0.131661462538755,0.82,56.83,1859449.0
2000,AUSTRIA,LEAD,AUT,0.131661462538755,0.82,56.83,
2000,AUSTRIA,MAGNESITE,AUT,0.131661462538755,0.82,56.83,725832.0
2000,AUSTRIA,MANGANESE,AUT,0.131661462538755,0.82,56.83,
2000,AUSTRIA,SILVER,AUT,0.131661462538755,0.82,56.83,
2000,AUSTRIA,TUNGSTEN,AUT,0.131661462538755,0.82,56.83,1421.0
2000,AUSTRIA,ZINC,AUT,0.131661462538755,0.82,56.83,
